Sku,ImageHeight,ImageWidth,Ratio,Aspect Ratio,Height1,Width1,SqIn1,SizeName1,UniqueSku1,Price1,Height2,Width2,SqIn2,SizeName2,UniqueSku2,Price2,Height3,Width3,SqIn3,SizeName3,UniqueSku3,Price3,Height4,Width4,SqIn4,SizeName4,UniqueSku4,Price4,Height5,Width5,SqIn5,SizeName5,UniqueSku5,Price5,Height6,Width6,SqIn6,SizeName6,UniqueSku6,Price6
p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102058.jpg,820.0,1024.0,1.25,5:4,18.0,24,432.0,24in x 18in,p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102058.jpg_2418,39.99,24,30.0,720.0,30in x 24in,p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102058.jpg_3024,59.99,35.0,44,1540.0,44in x 35in,p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102058.jpg_4435,99.99
p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102060.jpg,820.0,1024.0,1.25,5:4,18.0,24,432.0,24in x 18in,p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102060.jpg_2418,39.99,24,30.0,720.0,30in x 24in,p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102060.jpg_3024,59.99,35.0,44,1540.0,44in x 35in,p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102060.jpg_4435,99.99
p:/05_Calendar Images/03_2017_Cal_AMZ/DET101755.jpg,820.0,1024.0,1.25,5:4,18.0,24,432.0,24in x 18in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101755.jpg_2418,39.99,24,30.0,720.0,30in x 24in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101755.jpg_3024,59.99,35.0,44,1540.0,44in x 35in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101755.jpg_4435,99.99
p:/05_Calendar Images/03_2017_Cal_AMZ/DET101760.jpg,819.0,1024.0,1.25,5:4,18.0,24,432.0,24in x 18in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101760.jpg_2418,39.99,24,30.0,720.0,30in x 24in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101760.jpg_3024,59.99,35.0,44,1540.0,44in x 35in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101760.jpg_4435,99.99
p:/05_Calendar Images/03_2017_Cal_AMZ/DET101764.jpg,820.0,1024.0,1.25,5:4,18.0,24,432.0,24in x 18in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101764.jpg_2418,39.99,24,30.0,720.0,30in x 24in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101764.jpg_3024,59.99,35.0,44,1540.0,44in x 35in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101764.jpg_4435,99.99
p:/05_Calendar Images/03_2017_Cal_AMZ/DET101765.jpg,1024.0,820.0,1.25,5:4,18.0,24,432.0,24in x 18in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101765.jpg_2418,39.99,24,30.0,720.0,30in x 24in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101765.jpg_3024,59.99,35.0,44,1540.0,44in x 35in,p:/05_Calendar Images/03_2017_Cal_AMZ/DET101765.jpg_4435,99.99
p:/05_Calendar Images/03_2017_Cal_AMZ/ISP101923.jpg,820.0,1024.0,1.25,5:4,18.0,24,432.0,24in x 18in,p:/05_Calendar Images/03_2017_Cal_AMZ/ISP101923.jpg_2418,39.99,24,30.0,720.0,30in x 24in,p:/05_Calendar Images/03_2017_Cal_AMZ/ISP101923.jpg_3024,59.99,35.0,44,1540.0,44in x 35in,p:/05_Calendar Images/03_2017_Cal_AMZ/ISP101923.jpg_4435,99.99
p:/05_Calendar Images/03_2017_Cal_AMZ/ISP101931.jpg,820.0,1024.0,1.25,5:4,18.0,24,432.0,24in x 18in,p:/05_Calendar Images/03_2017_Cal_AMZ/ISP101931.jpg_2418,39.99,24,30.0,720.0,30in x 24in,p:/05_Calendar Images/03_2017_Cal_AMZ/ISP101931.jpg_3024,59.99,35.0,44,1540.0,44in x 35in,p:/05_Calendar Images/03_2017_Cal_AMZ/ISP101931.jpg_4435,99.99
p:/05_Calendar Images/03_2017_Cal_AMZ/KAN101899.jpg,1024.0,820.0,1.25,5:4,18.0,24,432.0,24in x 18in,p:/05_Calendar Images/03_2017_Cal_AMZ/KAN101899.jpg_2418,39.99,24,30.0,720.0,30in x 24in,p:/05_Calendar Images/03_2017_Cal_AMZ/KAN101899.jpg_3024,59.99,35.0,44,1540.0,44in x 35in,p:/05_Calendar Images/03_2017_Cal_AMZ/KAN101899.jpg_4435,99.99
p:/05_Calendar Images/03_2017_Cal_AMZ/KAN101902.jpg,820.0,1024.0,1.25,5:4,18.0,24,432.0,24in x 18in,p:/05_Calendar Images/03_2017_Cal_AMZ/KAN101902.jpg_2418,39.99,24,30.0,720.0,30in x 24in,p:/05_Calendar Images/03_2017_Cal_AMZ/KAN101902.jpg_3024,59.99,35.0,44,1540.0,44in x 35in,p:/05_Calendar Images/03_2017_Cal_AMZ/KAN101902.jpg_4435,99.99
